,title,price,distance,city,date
199,"'Concept 2 roeitrainer, fitness roeier met display.'",750.0,129.0,Hoogeveen,2020-09-18 10:14:10+00:00
200,'Concept 2 pm2 pm3 computers monitor roeitrainer rower',NaN,90.0,Sloten,2020-09-18 09:13:03+00:00
201,"'concept 2, x fitt, roeiapparaat, rower'",600.0,105.0,Zeeland,2020-09-18 09:13:03+00:00
202,'Concept 2 roeitrainer',200.0,21.0,Amsterdam,2020-09-18 09:13:03+00:00
203,'Roei Apparaat Concept 2 Zo Goed Als Nieuw!',NaN,20.0,Amsterdam,2020-09-18 09:12:58+00:00
204,'2 footstrap riempjes voor de concept 2 roeimachine',6.0,77.0,Nunspeet,2020-09-18 09:12:58+00:00
205,'Gezocht: concept2 monitor pm2 of pm3',NaN,63.0,Dordrecht,2020-09-18 09:12:58+00:00
206,'Concept 2 Model E met PM4',699.0,0,Haarlem,2020-09-18 09:12:58+00:00
207,'Concept 2 model E pm4',750.0,116.0,Babberich,2020-09-18 09:12:51+00:00
208,'Concept 2 Roeiapparaat - werkt nog perfect! Originele staat',NaN,88.0,Breda,2020-09-18 09:12:51+00:00
209,'Concept 2 model E roeitrainer met PM4 te koop!',675.0,0,Haarlem,2020-09-18 09:12:51+00:00
210,'Concept pm2 of pm3 monitor gezocht',NaN,55.0,Amersfoort,2020-09-18 09:12:51+00:00
211,'Concept 2 model E PM5 Roeitrainer',NaN,44.0,Berkel en Rodenrijs,2020-09-18 09:12:50+00:00
212,'Concept 2 Roeitrainer Model D met Pm3 Scherm',NaN,99.0,Goirle,2020-09-18 09:12:46+00:00
213,"'Concept 2 PM5 Flash Drive,  Nieuw!'",49.95,45.0,Delft,2020-09-18 09:12:46+00:00
214,'Concept 2 roeimachine',500.0,19.0,Amsterdam,2020-09-18 09:12:46+00:00
215,"'Concept 2 roeitrainer, type C'",NaN,91.0,Ugchelen,2020-09-18 09:12:45+00:00
216,'Concept 2 model D roeitrainer te koop!',700.0,18.0,Amsterdam,2020-09-18 09:12:45+00:00
217,'Concept 2 model C roeitrainer',425.0,65.0,Ermelo,2020-09-18 09:02:55+00:00
