id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1832098281|Concept 2 model D rower/roeier/roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1832098281-concept-2-model-d-rower-roeier-roeitrainer|550|44144820|PACKAGE_FREE|141|Dinxperlo|D||0|0|2022-04-16T09:11:34Z
m1832213661|Concept 2 Roeitrainer Model D PM4 Monitor|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832213661-concept-2-roeitrainer-model-d-pm4-monitor|675|20393370|PACKAGE_FREE|49|Bussum|D|PM4|700|25|2022-04-16T13:22:46Z
m1832292334|Concept2 BikeErg|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832292334-concept2-bikeerg|999|10131426|PACKAGE_FREE|49|Houten|||0|0|2022-04-16T16:47:34Z
m1832440835|roeitrainer Concept 2 model met PM3 computer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832440835-roeitrainer-concept-2-model-met-pm3-computer|NaN|13797880|PACKAGE_FREE|160|Einighausen||PM3|0|0|2022-04-17T09:00:20Z
m1832515070|Concept II model c roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832515070-concept-ii-model-c-roeitrainer|500|18402150|PACKAGE_FREE|182|Heijenrath|C||0|0|2022-04-17T12:04:48Z
m1832670127|Roeimachine, Concept 2, PM5, in zeer goede staat!|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832670127-roeimachine-concept-2-pm5-in-zeer-goede-staat|800|9758340|PACKAGE_FREE|26|Capelle aan den IJssel|||0|0|2022-04-17T20:27:59Z
m1832978748|Roeitrainer CONCEPT 2 MODEL E PM4 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1832978748-roeitrainer-concept-2-model-e-pm4-display|675|44490000|PACKAGE_FREE|76|De Klomp|E|PM4|750|75|2022-04-18T17:02:09Z
m1833009813|Concept 2 model D black PM5 roeitrainer eind 2020|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833009813-concept-2-model-d-black-pm5-roeitrainer-eind-2020|850|3972843|PACKAGE_FREE|152|Roermond|D|PM5|800|0|2022-04-18T18:20:04.584Z
m1833051878|Concept II roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833051878-concept-ii-roeitrainer|450|24937548|PACKAGE_FREE|146|Venlo|||0|0|2022-04-18T20:54:37Z
m1833158081|Concept 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833158081-concept-2|NaN|16685316|PACKAGE_FREE|64|Oosterhout|||0|0|2022-04-19T10:15:03.897Z
